speaker,filename,kind,wav,pesq,stoi,estoi,utt_gt_kanjikana,utt_recog_kanjikana,delt_kanjikana,inst_kanjikana,subst_kanjikana,wer_kanjikana,utt_gt_kana,utt_recog_kana,delt_kana,inst_kana,subst_kana,cer_kana,utt_gt_phoneme,utt_recog_phoneme,delt_phoneme,inst_phoneme,subst_phoneme,per_phoneme,spk_sim,utmos,run_id
M04_kablab,ATR503_j51,pred_mel_speech_ssl,Audio,1.425279140472412,0.7843344211578369,0.5533813238143921,畑 は 干上がり 土 は 割れる,あ たて は ひや が に 口 を あわ り る,0,5,5,166.66666666666669,ハ タ ケ ワ ヒ ア ガ リ ツ チ ワ ワ レ ル,ア タ テ ワ ヒ ヤ ガ ニ ク チ ヲ ア ワ リ ル,0,1,7,57.14285714285714,h a t a k e w a h i a g a r i ts U ch i w a w a r e r u,a t a t e w a h i y a g a n i k U ch i o a w a r i r u,1,1,5,25.925925925925924,0.8695749044418335,2.4281697273254395,q7pgvrou
F02_kablab,ATR503_j25,pred_mel_speech_ssl,Audio,1.0753912925720215,0.566648542881012,0.2796015441417694,変わりびな は 世相 を つづる,ハ ワリ 民 で は 説法 を 追随 する,0,4,3,140.0,カ ワ リ ビ ナ ワ セ ソ ー ヲ ツ ズ ル,ハ ワ リ ミ ン デ ワ セ ッ ポ ー ヲ ツ イ ズ イ ス ル,0,5,4,69.23076923076923,k a w a r i b i n a w a s e s o o o ts u z u r u,h a w a r i m i N d e w a s e cl p o o o ts u i z u i s u r u,0,6,5,45.83333333333333,0.678813099861145,1.5409356355667114,q7pgvrou
F02_kablab,ATR503_j41,pred_mel_speech_ssl,Audio,1.0904914140701294,0.54090416431427,0.31895214319229126,久し ぶり に 懐かしい 人間 味 に 触れ て 心 和ん だ 夜 だっ た,久し ぶり に い た つ か せい 人間 の 真似 を 受け て ここ も 泣こ ん でる よう に なっ た,0,8,9,113.33333333333333,ヒ サ シ ブ リ ニ ナ ツ カ シ イ ニ ン ゲ ン ミ ニ フ レ テ コ コ ロ ナ ゴ ン ダ ヨ ル ダ ッ タ,ヒ サ シ ブ リ ニ イ タ ツ カ セ イ ニ ン ゲ ン ノ マ ネ ヲ ウ ケ テ コ コ モ ナ コ ン デ ル ヨ ー ニ ナ ッ タ,0,5,11,50.0,h I s a sh i b u r i n i n a ts U k a sh i i n i N g e N m i n i f u r e t e k o k o r o n a g o N d a y o r u d a cl t a,h I s a sh i b u r i n i i t a ts u k a s e i n i N g e N n o m a n e o u k e t e k o k o m o n a k o N d e r u y o o n i n a cl t a,0,6,14,33.89830508474576,0.8727442622184753,1.4314658641815186,q7pgvrou
F02_kablab,ATR503_j08,pred_mel_speech_ssl,Audio,1.1339266300201416,0.5611341595649719,0.4045390784740448,一 票 の 格差 は さらに 広がる だろう,一方 で アクサ を 扱い に 拾 られ た お,0,2,8,125.0,イ ッ ピ ョ ー ノ カ ク サ ワ サ ラ ニ ヒ ロ ガ ル ダ ロ ー,イ ッ ポ ー デ ア ク サ ヲ ア ツ カ イ ニ ヒ ロ エ ラ レ タ オ,1,2,11,70.0,i cl py o o n o k a k U s a w a s a r a n i h i r o g a r u d a r o o,i cl p o o d e a k U s a o a ts U k a i n i h i r o e r a r e t a o,3,2,10,44.11764705882353,0.7364352941513062,1.5424413681030273,q7pgvrou
F02_kablab,ATR503_j23,pred_mel_speech_ssl,Audio,1.0682196617126465,0.4678100347518921,0.2999354302883148,両手 の 指 は 変形 し 関節 の あたり が コブ 状 に 盛り上がっ て い た,よう だる と みやげ ん けん すい あさ つく や で い が こ もつ ほ に もん が はん て き た,0,6,13,111.76470588235294,リ ョ ー テ ノ ユ ビ ワ ヘ ン ケ ー シ カ ン セ ツ ノ ア タ リ ガ コ ブ ジ ョ ー ニ モ リ ア ガ ッ テ イ タ,ヨ ウ ダ ル ト ミ ヤ ゲ ン ケ ン ス イ ア サ ツ ク ヤ デ イ ガ コ モ ツ ホ ニ モ ン ガ ハ ン テ キ タ,2,0,25,75.0,ry o o t e n o y u b i w a h e N k e e sh I k a N s e ts u n o a t a r i g a k o b u j o o n i m o r i a g a cl t e i t a,y o u d a r u t o m i y a g e N k e N s u i a s a ts u k u y a d e i g a k o m o ts U h o n i m o N g a h a N t e k i t a,2,3,28,55.932203389830505,0.8090611696243286,1.4733829498291016,q7pgvrou
F02_kablab,ATR503_j21,pred_mel_speech_ssl,Audio,1.0918238162994385,0.6315672397613525,0.336142361164093,入学 試験 を 受ける 時 より 必死 の 思い で ある,留学 支援 を 振るう とい よいよい よいよい よいよい よいよい よいよい よいよい よいよい よいよい よいよい よいよい よいよい よいよい よいよい よいよい よいよい よいよい よいよい よいよい よいよい よいよい よいよい よいよい よいよい よいよい よいよい よいよい よいよい よいよい よいよい よいよい よいよい よいよい よいよい よいよい よいよい よいよい よいよい よいよい よいよい よいよい よいよい よいよい よいよい よいよい よいよい よいよい よいよい よいよい よいよい よいよい よいよい よいよい よい よ,0,48,10,527.2727272727273,ニ ュ ー ガ ク シ ケ ン ヲ ウ ケ ル ト キ ヨ リ ヒ ッ シ ノ オ モ イ デ ア ル,リ ュ ー ガ ク シ エ ン ヲ フ ル ウ ト イ ヨ イ ヨ イ ヨ イ ヨ イ ヨ イ ヨ イ ヨ イ ヨ イ ヨ イ ヨ イ ヨ イ ヨ イ ヨ イ ヨ イ ヨ イ ヨ イ ヨ イ ヨ イ ヨ イ ヨ イ ヨ イ ヨ イ ヨ イ ヨ イ ヨ イ ヨ イ ヨ イ ヨ イ ヨ イ ヨ イ ヨ イ ヨ イ ヨ イ ヨ イ ヨ イ ヨ イ ヨ イ ヨ イ ヨ イ ヨ イ ヨ イ ヨ イ ヨ イ ヨ イ ヨ イ ヨ イ ヨ イ ヨ イ ヨ イ ヨ イ ヨ イ ヨ イ ヨ イ ヨ イ ヨ イ ヨ イ ヨ イ ヨ イ ヨ イ ヨ イ ヨ イ ヨ イ ヨ イ ヨ イ ヨ イ ヨ イ ヨ イ ヨ イ ヨ イ ヨ イ ヨ イ ヨ イ ヨ イ ヨ イ ヨ イ ヨ イ ヨ イ ヨ イ ヨ イ ヨ イ ヨ イ ヨ イ ヨ イ ヨ イ ヨ イ ヨ イ ヨ イ ヨ イ ヨ イ ヨ イ ヨ イ ヨ イ ヨ イ ヨ イ ヨ イ ヨ イ ヨ イ ヨ イ ヨ イ ヨ イ ヨ イ ヨ イ ヨ イ ヨ イ ヨ イ ヨ,0,199,16,826.923076923077,ny u u g a k U sh i k e N o u k e r u t o k i y o r i h i cl sh i n o o m o i d e a r u,ry u u g a k U sh i e N o f u r u u t o i y o i y o i y o i y o i y o i y o i y o i y o i y o i y o i y o i y o i y o i y o i y o i y o i y o i y o i y o i y o i y o i y o i y o i y o i y o i y o i y o i y o i y o i y o i y o i y o i y o i y o i y o i y o i y o i y o i y o i y o i y o i y o i y o i y o i y o i y o i y o i y o i y o i y o i y o i y o i y o i y o i y o i y o i y o i y o i y o i y o i y o i y o i y o i y o i y o i y o i y o i y o i y o i y o i y o i y o i y o i y o i y o i y o i y o i y o i y o i y o i y o i y o i y o i y o i y o i y o i y o i y o i y o i y o i y o i y o i y o i y o i y o i y o i y o i y o i y o i y o i y o i y o i y o i y o i y o i y o,3,298,13,747.6190476190476,0.7581368684768677,1.646634578704834,q7pgvrou
F02_kablab,ATR503_j31,pred_mel_speech_ssl,Audio,1.1102982759475708,0.45584046840667725,0.24769729375839233,なぜ 自分 ばかり こんな 目 に 合う の だろう,だ って 自分 は 振り こっ て 今 に 会う よ だろ,0,3,7,111.11111111111111,ナ ゼ ジ ブ ン バ カ リ コ ン ナ メ ニ ア ウ ノ ダ ロ ー,ダ ッ テ ジ ブ ン ワ フ リ コ ッ テ イ マ ニ ア ウ ヨ ダ ロ,1,2,8,57.89473684210527,n a z e j i b u N b a k a r i k o N n a m e n i a u n o d a r o o,d a cl t e j i b u N w a f u r i k o cl t e i m a n i a u y o d a r o,1,2,10,39.39393939393939,0.7580353617668152,1.6448928117752075,q7pgvrou
M04_kablab,ATR503_j16,pred_mel_speech_ssl,Audio,1.1893539428710938,0.7227624654769897,0.5623972415924072,午前 中 で 終わる 練習 を ネット 裏 から 垣間見 た,古前 宗 ネオ は 武田 中央 面 得 だ が 垣間 め た,0,2,10,109.09090909090908,ゴ ゼ ン チ ュ ー デ オ ワ ル レ ン シ ュ ー ヲ ネ ッ ト ウ ラ カ ラ カ イ マ ミ タ,フ ル マ エ ハ ジ メ ネ オ ワ タ ケ ダ チ ュ ー オ ー メ ン ト ク ダ ガ カ キ カ ン メ タ,1,3,19,82.14285714285714,g o z e N ch u u d e o w a r u r e N sh u u o n e cl t o u r a k a r a k a i m a m i t a,f u r u m a e h a j i m e n e o w a t a k e d a ch u u o o m e N t o k u d a g a k a k I k a N m e t a,0,8,23,72.09302325581395,0.9218831062316895,2.6885018348693848,2wwcs7kw
M04_kablab,ATR503_j08,pred_mel_speech_ssl,Audio,1.208056092262268,0.618733823299408,0.39613720774650574,一 票 の 格差 は さらに 広がる だろう,一方 の 辛 さ は さらに 一 度 かく で おう,0,3,6,112.5,イ ッ ピ ョ ー ノ カ ク サ ワ サ ラ ニ ヒ ロ ガ ル ダ ロ ー,イ ッ ポ ー ノ ツ ラ サ ワ サ ラ ニ イ チ ド カ ク デ オ ウ,1,1,10,60.0,i cl py o o n o k a k U s a w a s a r a n i h i r o g a r u d a r o o,i cl p o o n o ts u r a s a w a s a r a n i i ch i d o k a k u d e o u,1,1,11,38.23529411764706,0.816078782081604,2.924691915512085,2wwcs7kw
M04_kablab,ATR503_j51,pred_mel_speech_ssl,Audio,1.3298190832138062,0.7928558588027954,0.5279811024665833,畑 は 干上がり 土 は 割れる,あ だけ は 日 上がり 辻 は 哀れ る,0,3,4,116.66666666666667,ハ タ ケ ワ ヒ ア ガ リ ツ チ ワ ワ レ ル,ア ダ ケ ワ ヒ ア ガ リ ツ ジ ワ ア ワ レ ル,0,1,3,28.57142857142857,h a t a k e w a h i a g a r i ts U ch i w a w a r e r u,a d a k e w a h i a g a r i ts u j i w a a w a r e r u,1,1,3,18.51851851851852,0.8398491144180298,2.3704047203063965,2wwcs7kw
